Сессия: 1748786478 | Эпизод:   39/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 1.28 | Epsilon: 0.828 | Время: 421.28 секк
Сессия: 1748786478 | Эпизод:   40/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 1.86 | Epsilon: 0.824 | Время: 430.33 секк
Сессия: 1748786478 | Эпизод:   41/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 1.06 | Epsilon: 0.820 | Время: 442.02 секк
Сессия: 1748786478 | Эпизод:   42/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 2.94 | Epsilon: 0.816 | Время: 452.22 секк
Сессия: 1748786478 | Эпизод:   43/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 3.02 | Epsilon: 0.812 | Время: 465.02 секк
Сессия: 1748786478 | Эпизод:   44/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 2.17 | Epsilon: 0.808 | Время: 476.45 секк
Сессия: 1748786478 | Эпизод:   45/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 1.74 | Epsilon: 0.804 | Время: 488.21 секк
Сессия: 1748786478 | Эпизод:   46/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 1.61 | Epsilon: 0.800 | Время: 499.66 секк
Сессия: 1748786478 | Эпизод:   47/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 2.69 | Epsilon: 0.796 | Время: 512.06 секк
Сессия: 1748786478 | Эпизод:   48/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 1.96 | Epsilon: 0.793 | Время: 523.10 секк
Сессия: 1748786478 | Эпизод:   49/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 2.55 | Epsilon: 0.789 | Время: 532.92 секк
Сессия: 1748786478 | Эпизод:   50/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 1.95 | Epsilon: 0.785 | Время: 543.82 секк
Сессия: 1748786478 | Эпизод:   51/5000 | Пройдено труб:   0 | Макс. рекорд:   0 | Награда: 11.20 | Epsilon: 0.783 | Время: 548.17 сек
